,place_name,tour_element,tour_element_name,,,,,,,,,,,,
444,달마사,카페,쉬어가는모퉁이커피한잔,,,,,,,,,,,,
445,달마사,카페,,,,,,,,,,,,,
446,달마사,카페,,,,,,,,,,,,,
447,달마사,카페,,,,,,,,,,,,,
448,달마사,카페,,,,,,,,,,,,,
449,달마사,카페,서라벌컴퍼니,,,,,,,,,,,,
450,달마사,카페,팜카페,,,,,,,,,,,,
451,달마사,카페,,,,,,,,,,,,,
452,달마사,카페,블루팟,,,,,,,,,,,,
453,달마사,카페,중앙대학교경영관카페드림,,,,,,,,,,,,
454,달마사,카페,,,,,,,,,,,,,
455,달마사,카페,카페IMT,,,,,,,,,,,,
456,달마사,카페,맘스하트카페,,,,,,,,,,,,
457,달마사,카페,,,,,,,,,,,,,
458,달마사,카페,오후홍콩,,,,,,,,,,,,
459,달마사,카페,언니의식빵가게,,,,,,,,,,,,
460,달마사,카페,,,,,,,,,,,,,
461,달마사,카페,위드커피,,,,,,,,,,,,
462,달마사,카페,루아르커피바,,,,,,,,,,,,
463,달마사,카페,뚜스뚜스 흑석역점,,,,,,,,,,,,
464,달마사,카페,숭실대생협 아름다운세상,,,,,,,,,,,,
465,달마사,카페,,,,,,,,,,,,,
466,달마사,카페,,,,,,,,,,,,,
467,달마사,카페,,,,,,,,,,,,,
468,달마사,카페,,,,,,,,,,,,,
469,달마사,카페,제3공간,,,,,,,,,,,,
470,달마사,카페,숭실대학교잡카페일자리카페,,,,,,,,,,,,
471,달마사,카페,,,,,,,,,,,,,
472,달마사,카페,조안찐빵만두 상도점,,,,,,,,,,,,
473,달마사,카페,렁트멍,,,,,,,,,,,,
474,달마사,카페,,,,,,,,,,,,,
475,달마사,카페,어펜딕스,,,,,,,,,,,,
476,달마사,카페,꽃내음차향기,,,,,,,,,,,,
